YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2022,1,29,6,36,330,10.8,12.4,MM,MM,MM,MM,1025.1,6.7,MM,MM,MM,MM,MM
2022,1,29,6,30,320,10.3,13.9,MM,MM,MM,MM,1025.1,6.7,MM,MM,MM,MM,MM
2022,1,29,6,24,320,11.8,14.9,MM,MM,MM,MM,1025,6.9,MM,MM,MM,MM,MM
2022,1,29,6,18,320,10.3,12.4,MM,MM,MM,MM,1025,7,MM,MM,MM,MM,MM
2022,1,29,6,12,320,10.8,11.8,MM,MM,MM,MM,1024.9,7.1,MM,MM,MM,MM,MM
2022,1,29,6,6,320,9.8,11.3,MM,MM,MM,MM,1025,7.2,MM,MM,MM,MM,MM
2022,1,29,6,0,320,9.8,11.3,MM,MM,MM,MM,1025.1,7.4,MM,MM,MM,0,MM
2022,1,29,5,54,320,9.8,10.8,MM,MM,MM,MM,1025,7.3,MM,MM,MM,MM,MM
2022,1,29,5,48,320,9.3,10.3,MM,MM,MM,MM,1025,7.4,MM,MM,MM,MM,MM
2022,1,29,5,42,310,9.3,10.3,MM,MM,MM,MM,1025,7.4,MM,MM,MM,MM,MM
2022,1,29,5,36,310,8.8,10.3,MM,MM,MM,MM,1025,7.4,MM,MM,MM,MM,MM
2022,1,29,5,30,310,8.8,9.8,MM,MM,MM,MM,1025.1,7.4,MM,MM,MM,MM,MM
2022,1,29,5,24,310,8.2,9.8,MM,MM,MM,MM,1025.2,7.4,MM,MM,MM,MM,MM
2022,1,29,5,18,320,8.8,9.8,MM,MM,MM,MM,1025.1,7.5,MM,MM,MM,MM,MM
2022,1,29,5,12,310,8.8,9.8,MM,MM,MM,MM,1025.1,7.5,MM,MM,MM,MM,MM
2022,1,29,5,6,310,8.8,11.3,MM,MM,MM,MM,1025.1,7.5,MM,MM,MM,MM,MM
2022,1,29,5,0,320,8.8,9.8,MM,MM,MM,MM,1025.2,7.6,MM,MM,MM,0.9,MM
2022,1,29,4,54,320,8.2,9.8,MM,MM,MM,MM,1025.3,7.7,MM,MM,MM,MM,MM
2022,1,29,4,48,320,8.2,9.8,MM,MM,MM,MM,1025.4,7.7,MM,MM,MM,MM,MM
2022,1,29,4,42,320,8.2,9.3,MM,MM,MM,MM,1025.3,7.7,MM,MM,MM,MM,MM
2022,1,29,4,36,320,8.2,9.8,MM,MM,MM,MM,1025.4,7.8,MM,MM,MM,MM,MM
2022,1,29,4,30,320,8.2,11.3,MM,MM,MM,MM,MM,7.9,MM,MM,MM,MM,MM
2022,1,29,4,24,320,8.2,9.8,MM,MM,MM,MM,MM,8,MM,MM,MM,MM,MM
2022,1,29,4,18,320,8.2,9.3,MM,MM,MM,MM,1025.4,8,MM,MM,MM,MM,MM
2022,1,29,4,12,320,8.2,10.3,MM,MM,MM,MM,1025.4,8,MM,MM,MM,MM,MM
2022,1,29,4,6,320,8.2,10.3,MM,MM,MM,MM,1025.4,8.1,MM,MM,MM,MM,MM
2022,1,29,4,0,320,9.3,9.8,MM,MM,MM,MM,1025.4,8.2,MM,MM,MM,2.1,MM
2022,1,29,3,54,320,7.7,9.3,MM,MM,MM,MM,1025.4,8.2,MM,MM,MM,MM,MM
2022,1,29,3,48,320,7.2,8.8,MM,MM,MM,MM,1025.4,8.2,MM,MM,MM,MM,MM
2022,1,29,3,42,320,7.7,9.3,MM,MM,MM,MM,1025.3,8.2,MM,MM,MM,MM,MM
2022,1,29,3,36,330,9.3,10.3,MM,MM,MM,MM,1025.3,8.3,MM,MM,MM,MM,MM
2022,1,29,3,30,320,9.3,10.8,MM,MM,MM,MM,1025.3,8.3,MM,MM,MM,MM,MM
2022,1,29,3,24,330,9.8,11.3,MM,MM,MM,MM,1025.2,8.4,MM,MM,MM,MM,MM
2022,1,29,3,18,330,10.8,12.9,MM,MM,MM,MM,1025.1,8.4,MM,MM,MM,MM,MM
2022,1,29,3,12,330,10.8,11.8,MM,MM,MM,MM,1025.1,8.6,MM,MM,MM,MM,MM
2022,1,29,3,6,330,10.3,12.4,MM,MM,MM,MM,1025,8.5,MM,MM,MM,MM,MM
2022,1,29,3,0,330,10.3,11.8,MM,MM,MM,MM,1025,8.6,MM,MM,MM,3.2,MM
2022,1,29,2,54,320,10.3,12.4,MM,MM,MM,MM,1024.9,8.6,MM,MM,MM,MM,MM
2022,1,29,2,48,320,10.3,11.3,MM,MM,MM,MM,1025,8.7,MM,MM,MM,MM,MM
2022,1,29,2,42,320,10.3,11.3,MM,MM,MM,MM,1024.9,8.8,MM,MM,MM,MM,MM
2022,1,29,2,36,320,9.8,10.8,MM,MM,MM,MM,1024.8,8.9,MM,MM,MM,MM,MM
2022,1,29,2,30,320,9.3,11.8,MM,MM,MM,MM,1024.7,8.8,MM,MM,MM,MM,MM
2022,1,29,2,24,320,10.8,12.4,MM,MM,MM,MM,1024.6,9,MM,MM,MM,MM,MM
2022,1,29,2,18,330,11.3,12.9,MM,MM,MM,MM,1024.6,9.1,MM,MM,MM,MM,MM
2022,1,29,2,12,330,12.4,13.9,MM,MM,MM,MM,1024.5,9.2,MM,MM,MM,MM,MM
2022,1,29,2,6,330,12.4,13.9,MM,MM,MM,MM,1024.4,9.3,MM,MM,MM,MM,MM
2022,1,29,2,0,330,12.9,14.9,MM,MM,MM,MM,1024.3,9.3,MM,MM,MM,3.5,MM
2022,1,29,1,54,330,12.9,15.4,MM,MM,MM,MM,1024.3,9.4,MM,MM,MM,MM,MM
2022,1,29,1,48,330,10.8,12.4,MM,MM,MM,MM,1024.2,9.4,MM,MM,MM,MM,MM
2022,1,29,1,42,330,11.3,13.9,MM,MM,MM,MM,1024,9.5,MM,MM,MM,MM,MM
2022,1,29,1,36,330,12.4,13.4,MM,MM,MM,MM,1023.9,9.6,MM,MM,MM,MM,MM
2022,1,29,1,30,330,12.4,14.9,MM,MM,MM,MM,1023.8,9.7,MM,MM,MM,MM,MM
2022,1,29,1,24,330,12.4,14.4,MM,MM,MM,MM,1023.7,9.7,MM,MM,MM,MM,MM
2022,1,29,1,18,330,12.4,14.4,MM,MM,MM,MM,1023.5,9.8,MM,MM,MM,MM,MM
2022,1,29,1,12,330,11.8,13.9,MM,MM,MM,MM,1023.5,9.9,MM,MM,MM,MM,MM
2022,1,29,1,6,330,11.3,13.4,MM,MM,MM,MM,1023.3,9.9,MM,MM,MM,MM,MM
2022,1,29,1,0,330,11.8,12.9,MM,MM,MM,MM,1023.3,9.9,MM,MM,MM,3.2,MM
2022,1,29,0,54,330,11.8,16.5,MM,MM,MM,MM,1023.1,9.9,MM,MM,MM,MM,MM
2022,1,29,0,48,330,11.3,13.4,MM,MM,MM,MM,1023,10.1,MM,MM,MM,MM,MM
2022,1,29,0,42,330,11.8,13.4,MM,MM,MM,MM,1022.8,10.1,MM,MM,MM,MM,MM
2022,1,29,0,36,330,12.4,14.9,MM,MM,MM,MM,1022.6,10.2,MM,MM,MM,MM,MM
2022,1,29,0,30,330,12.9,14.9,MM,MM,MM,MM,1022.4,10.3,MM,MM,MM,MM,MM
2022,1,29,0,24,330,11.8,13.4,MM,MM,MM,MM,1022.4,10.4,MM,MM,MM,MM,MM
2022,1,29,0,18,330,11.8,13.4,MM,MM,MM,MM,1022.3,10.5,MM,MM,MM,MM,MM
2022,1,29,0,12,330,12.4,13.9,MM,MM,MM,MM,1022.1,10.6,MM,MM,MM,MM,MM
2022,1,29,0,6,330,12.9,14.9,MM,MM,MM,MM,1022,10.7,MM,MM,MM,MM,MM
2022,1,29,0,0,330,12.9,14.9,MM,MM,MM,MM,1021.8,10.8,MM,MM,MM,1.3,MM
2022,1,28,23,54,330,11.8,14.4,MM,MM,MM,MM,1021.7,10.8,MM,MM,MM,MM,MM
2022,1,28,23,48,330,11.3,12.4,MM,MM,MM,MM,1021.6,10.9,MM,MM,MM,MM,MM
2022,1,28,23,42,340,10.8,13.4,MM,MM,MM,MM,1021.5,11.1,MM,MM,MM,MM,MM
2022,1,28,23,36,330,12.4,14.4,MM,MM,MM,MM,1021.3,11.1,MM,MM,MM,MM,MM
2022,1,28,23,30,330,10.8,12.4,MM,MM,MM,MM,1021.2,11.2,MM,MM,MM,MM,MM
2022,1,28,23,24,340,10.8,12.9,MM,MM,MM,MM,1021.1,11.2,MM,MM,MM,MM,MM
2022,1,28,23,18,330,10.8,12.9,MM,MM,MM,MM,1021,11.3,MM,MM,MM,MM,MM
2022,1,28,23,12,330,10.3,12.9,MM,MM,MM,MM,1020.9,11.3,MM,MM,MM,MM,MM
2022,1,28,23,6,330,11.3,12.4,MM,MM,MM,MM,1020.8,11.4,MM,MM,MM,MM,MM
2022,1,28,23,0,330,9.8,12.9,MM,MM,MM,MM,1020.8,11.4,MM,MM,MM,0,MM
2022,1,28,22,54,320,10.8,12.9,MM,MM,MM,MM,1020.7,11.4,MM,MM,MM,MM,MM
2022,1,28,22,48,320,10.8,11.8,MM,MM,MM,MM,1020.6,11.4,MM,MM,MM,MM,MM
2022,1,28,22,42,330,9.8,11.8,MM,MM,MM,MM,1020.6,11.5,MM,MM,MM,MM,MM
2022,1,28,22,36,330,9.8,12.4,MM,MM,MM,MM,1020.5,11.5,MM,MM,MM,MM,MM
2022,1,28,22,30,330,10.8,12.4,MM,MM,MM,MM,1020.4,11.5,MM,MM,MM,MM,MM
2022,1,28,22,24,320,10.8,11.8,MM,MM,MM,MM,1020.3,11.6,MM,MM,MM,MM,MM
2022,1,28,22,18,320,9.8,11.3,MM,MM,MM,MM,1020.3,11.4,MM,MM,MM,MM,MM
2022,1,28,22,12,320,9.3,10.8,MM,MM,MM,MM,1020.3,11.4,MM,MM,MM,MM,MM
2022,1,28,22,6,320,10.3,11.8,MM,MM,MM,MM,1020.1,11.5,MM,MM,MM,MM,MM
2022,1,28,22,0,330,9.8,11.3,MM,MM,MM,MM,1020.1,11.4,MM,MM,MM,-1,MM
2022,1,28,21,54,320,10.3,11.3,MM,MM,MM,MM,1020,11.4,MM,MM,MM,MM,MM
2022,1,28,21,48,330,10.3,11.8,MM,MM,MM,MM,1020,11.5,MM,MM,MM,MM,MM
2022,1,28,21,42,320,9.8,11.3,MM,MM,MM,MM,1020,11.4,MM,MM,MM,MM,MM
2022,1,28,21,36,330,10.3,11.3,MM,MM,MM,MM,1020,11.4,MM,MM,MM,MM,MM
2022,1,28,21,30,320,8.8,10.3,MM,MM,MM,MM,1020.1,11.1,MM,MM,MM,MM,MM
2022,1,28,21,24,320,8.8,10.3,MM,MM,MM,MM,1020.2,11,MM,MM,MM,MM,MM
2022,1,28,21,18,320,6.7,9.3,MM,MM,MM,MM,1020.2,10.8,MM,MM,MM,MM,MM
2022,1,28,21,12,320,8.2,9.3,MM,MM,MM,MM,1020.3,10.6,MM,MM,MM,MM,MM
2022,1,28,21,6,330,8.8,9.8,MM,MM,MM,MM,1020.5,10.3,MM,MM,MM,MM,MM
2022,1,28,21,0,330,7.7,8.8,MM,MM,MM,MM,1020.5,10,MM,MM,MM,-1,MM
2022,1,28,20,54,330,6.7,7.7,MM,MM,MM,MM,1020.6,9.6,MM,MM,MM,MM,MM
2022,1,28,20,48,330,6.2,8.2,MM,MM,MM,MM,1020.6,9.5,MM,MM,MM,MM,MM
2022,1,28,20,42,340,7.2,8.8,MM,MM,MM,MM,1020.6,9.2,MM,MM,MM,MM,MM
2022,1,28,20,36,330,7.2,8.8,MM,MM,MM,MM,1020.8,9.1,MM,MM,MM,MM,MM
2022,1,28,20,30,330,8.2,9.8,MM,MM,MM,MM,1020.9,8.9,MM,MM,MM,MM,MM
2022,1,28,20,24,330,7.7,9.3,MM,MM,MM,MM,1020.6,8.6,MM,MM,MM,MM,MM
2022,1,28,20,18,330,8.2,9.8,MM,MM,MM,MM,1020.6,8.6,MM,MM,MM,MM,MM
2022,1,28,20,12,330,8.2,9.3,MM,MM,MM,MM,1020.3,8.4,MM,MM,MM,MM,MM
2022,1,28,20,6,330,7.7,9.3,MM,MM,MM,MM,1020.4,8.3,MM,MM,MM,MM,MM
2022,1,28,20,0,330,8.2,9.3,MM,MM,MM,MM,1020.7,8.4,MM,MM,MM,-0.7,MM
